CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),FYSWR Date,FYSWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for FYSWR,First Year Standardized Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for FYSWR,95% C.I. (lower limit) for FYSWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted for Kidney Transplant,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR
012660,8,FKC Attalla,01Jan2021-31Dec2024,2.0,001,801 GILBERT FERRY RD SE,,ATTALLA,AL,35954,Etowah,(256) 691-0766,Profit,Yes,Fresenius Medical Care,No,10,Yes,Yes,Yes,2013-01-09,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,162.0,30.6,44.1,20.5,01Jan2024-31Dec2024,As Expected,001,42.0,211.9,334.0,142.2,01Jan2024-31Dec2024,Worse than Expected,001,58.0,42.6,55.9,29.8,01Jan2024-31Dec2024,Not Available,199,12.0,,,,01Jan2021-31Dec2023,Not Available,199,20.0,,,,As Expected,001,41.0,10.1,48.9,1.3,01Jan2024-31Dec2024,As Expected,001,14.0,1.66,3.56,0.79,01Jan2023-31Dec2024,As Expected,001,38.0,1.02,2.32,0.31,01Jan2021-31Dec2023,As Expected,001,43.0,0.88,2.59,0.18,01Jan2024-31Dec2024,As Expected,001,0.32,1.59,0.02,As Expected,001,49.0,60.8,85.9,34.0,01Apr2025-30JUN2025,001,0.0,001,43.0,340.0,99.0,201,0.0,,,259,0.0,,,259,0.0,,,,199,,199,7.0,001,46.0,363.0,1.0,001,49.0,386.0,10.0,15.0,24.0,28.0,23.0,001,49.0,386.0,15.0,259,0.0,,
012662,8,FMC MONTGOMERY HOME SERVICES,01Jan2021-31Dec2024,5.0,001,114 MITYLENE PARK LANE,,MONTGOMERY,AL,36117,Montgomery,(334) 244-1478,Profit,Yes,Fresenius Medical Care,No,8,Yes,Yes,Yes,2013-04-30,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,190.0,21.8,40.6,11.2,01Jan2024-31Dec2024,As Expected,001,34.0,77.6,185.0,36.2,01Jan2024-31Dec2024,As Expected,001,14.0,34.8,72.6,9.8,01Jan2024-31Dec2024,As Expected,001,17.0,20.1,159.7,4.2,01Jan2021-31Dec2023,As Expected,001,31.0,2.0,4.36,0.74,As Expected,001,55.0,26.7,53.0,10.5,01Jan2024-31Dec2024,As Expected,001,17.0,0.57,1.89,0.19,01Jan2023-31Dec2024,As Expected,001,21.0,1.29,3.45,0.23,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,Not Available,201,,,,As Expected,001,20.0,66.5,98.6,32.6,01Apr2025-30JUN2025,001,0.0,201,0.0,,,001,34.0,249.0,94.0,259,0.0,,,259,0.0,,,,199,,199,10.0,001,52.0,407.0,1.0,001,57.0,421.0,9.0,20.0,21.0,27.0,23.0,001,20.0,167.0,0.0,259,0.0,,
012663,8,DaVita Perry County Dialysis,01Jan2021-31Dec2024,4.0,001,611 EAST LAFAYETTE STREET,,MARION,AL,36756,Perry,(334) 683-8519,Profit,Yes,DaVita,No,10,Yes,No,No,2013-03-27,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,127.0,20.7,35.4,11.2,01Jan2024-31Dec2024,As Expected,001,36.0,173.7,318.4,102.2,01Jan2024-31Dec2024,As Expected,001,28.0,12.7,28.4,3.8,01Jan2024-31Dec2024,Not Available,199,10.0,,,,01Jan2021-31Dec2023,Not Available,199,9.0,,,,As Expected,001,29.0,11.5,60.5,1.1,01Jan2024-31Dec2024,As Expected,001,13.0,1.5,3.59,0.64,01Jan2023-31Dec2024,Not Available,199,3.0,,,,01Jan2021-31Dec2023,As Expected,001,14.0,2.21,6.46,0.46,01Jan2024-31Dec2024,As Expected,001,0.59,2.89,0.03,As Expected,001,36.0,57.9,84.0,30.3,01Apr2025-30JUN2025,001,0.0,280,36.0,269.0,,280,0.0,,,280,0.0,,,280,0.0,,,,199,,199,5.0,280,36.0,269.0,,280,38.0,261.0,,,,,,001,36.0,286.0,9.0,280,0.0,,
012664,8,FMC SOUTH MOBILE,01Jan2021-31Dec2024,3.0,001,12401 SKOPELOS RD,,GRAND BAY,AL,36541,Mobile,(251) 865-2102,Profit,Yes,Fresenius Medical Care,Yes,27,Yes,Yes,Yes,2013-04-03,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,250.0,20.8,32.8,13.7,01Jan2024-31Dec2024,As Expected,001,68.0,102.8,194.6,58.4,01Jan2024-31Dec2024,As Expected,001,38.0,11.6,28.8,2.9,01Jan2024-31Dec2024,Not Available,199,15.0,,,,01Jan2021-31Dec2023,As Expected,001,29.0,0.0,1.33,0.0,As Expected,001,58.0,13.0,38.8,3.4,01Jan2024-31Dec2024,As Expected,001,17.0,0.34,1.39,0.09,01Jan2023-31Dec2024,As Expected,001,22.0,1.94,4.02,0.55,01Jan2021-31Dec2023,As Expected,001,46.0,0.44,1.58,0.05,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.75,,As Expected,001,68.0,56.9,80.0,32.2,01Apr2025-30JUN2025,001,0.0,001,67.0,534.0,98.0,201,0.0,,,259,0.0,,,259,0.0,,,,199,,199,6.0,001,67.0,539.0,0.0,001,70.0,566.0,6.0,17.0,26.0,30.0,22.0,001,68.0,554.0,10.0,259,0.0,,
012665,8,DaVita Brewton Dialysis,01Jan2021-31Dec2024,4.0,001,1023 DOUGLAS AVENUE,SUITE 300,BREWTON,AL,36426,Escambia,(251) 867-8509,Profit,Yes,DaVita,No,10,Yes,Yes,No,2013-07-31,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,222.0,16.9,28.9,9.7,01Jan2024-31Dec2024,As Expected,001,60.0,105.9,210.6,57.6,01Jan2024-31Dec2024,As Expected,001,29.0,22.4,47.3,6.7,01Jan2024-31Dec2024,Not Available,199,20.0,,,,01Jan2021-31Dec2023,Not Available,199,22.0,,,,As Expected,001,41.0,18.0,50.5,4.5,01Jan2024-31Dec2024,As Expected,001,21.0,0.7,1.99,0.25,01Jan2023-31Dec2024,As Expected,001,20.0,0.82,2.65,0.09,01Jan2021-31Dec2023,As Expected,001,25.0,0.0,1.33,0.0,01Jan2024-31Dec2024,As Expected,001,0.0,1.02,,As Expected,001,48.0,53.0,77.6,26.8,01Apr2025-30JUN2025,001,0.0,280,44.0,391.0,,280,14.0,105.0,,280,0.0,,,280,0.0,,,0.0,001,0.0,001,16.0,280,58.0,514.0,,280,60.0,532.0,,,,,,001,48.0,433.0,15.0,280,0.0,,
012666,8,DaVita Anniston Dialysis,01Jan2021-31Dec2024,3.0,001,1612 NOBLE STREET,,ANNISTON,AL,36201,Calhoun,(256) 237-3794,Profit,Yes,DaVita,No,10,Yes,No,No,2013-08-09,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,Worse than Expected,001,83.0,39.4,64.8,22.4,01Jan2024-31Dec2024,As Expected,001,20.0,83.1,216.6,35.9,01Jan2024-31Dec2024,As Expected,001,13.0,14.7,42.6,1.9,01Jan2024-31Dec2024,Not Available,199,4.0,,,,01Jan2021-31Dec2023,Not Available,199,4.0,,,,As Expected,001,15.0,6.3,49.8,0.5,01Jan2024-31Dec2024,Not Available,199,7.0,,,,01Jan2023-31Dec2024,As Expected,001,15.0,2.39,4.19,0.93,01Jan2021-31Dec2023,Not Available,199,10.0,,,,01Jan2024-31Dec2024,As Expected,001,0.0,2.07,,As Expected,001,15.0,52.5,96.5,6.1,01Apr2025-30JUN2025,199,,280,13.0,117.0,,280,0.0,,,280,0.0,,,280,0.0,,,,199,,199,4.0,280,13.0,117.0,,280,16.0,118.0,,,,,,001,15.0,111.0,5.0,280,0.0,,
012667,8,FMC HOME THERAPY SERVICES OF BALDWIN COUNTY,01Jan2021-31Dec2024,3.0,001,917 B PLANTATION BLVD,,FAIRHOPE,AL,36532,Baldwin,(251) 929-3666,Profit,Yes,Fresenius Medical Care,No,5,No,Yes,Yes,2013-08-07,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,204.0,20.9,37.1,11.4,01Jan2024-31Dec2024,As Expected,001,59.0,140.7,247.5,86.3,01Jan2024-31Dec2024,As Expected,001,33.0,15.4,40.1,3.8,01Jan2024-31Dec2024,Not Available,199,25.0,,,,01Jan2021-31Dec2023,Not Available,199,22.0,,,,As Expected,001,51.0,31.0,56.4,13.5,01Jan2024-31Dec2024,As Expected,001,30.0,0.83,1.86,0.39,01Jan2023-31Dec2024,As Expected,001,33.0,1.28,2.91,0.32,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,Not Available,201,,,,As Expected,001,24.0,58.7,89.9,25.6,01Apr2025-30JUN2025,001,0.0,201,0.0,,,001,35.0,267.0,95.0,259,0.0,,,259,0.0,,,33.0,001,0.0,001,12.0,001,59.0,480.0,3.0,001,60.0,508.0,5.0,19.0,27.0,29.0,20.0,001,24.0,215.0,10.0,259,0.0,,
012669,8,DaVita Monarch Dialysis,01Jan2021-31Dec2024,2.0,001,2958 DORCHESTER DRIVE,,MONTGOMERY,AL,36116,Montgomery,(334) 280-4980,Profit,Yes,DaVita,No,22,Yes,No,No,2013-08-22,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,253.0,25.0,38.4,16.9,01Jan2024-31Dec2024,As Expected,001,62.0,167.4,276.0,107.5,01Jan2024-31Dec2024,As Expected,001,60.0,32.7,46.9,20.4,01Jan2024-31Dec2024,Not Available,199,17.0,,,,01Jan2021-31Dec2023,Worse than Expected,001,30.0,0.0,0.96,0.0,As Expected,001,64.0,6.0,25.1,1.2,01Jan2024-31Dec2024,As Expected,001,21.0,0.86,2.16,0.36,01Jan2023-31Dec2024,As Expected,001,36.0,0.86,1.9,0.26,01Jan2021-31Dec2023,As Expected,001,34.0,0.24,1.35,0.01,01Jan2024-31Dec2024,As Expected,001,0.43,1.41,0.07,As Expected,001,76.0,55.5,79.2,32.5,01Apr2025-30JUN2025,001,0.0,280,69.0,648.0,,280,0.0,,,280,0.0,,,280,0.0,,,13.0,001,0.0,001,16.0,280,72.0,684.0,,280,76.0,634.0,,,,,,001,76.0,681.0,14.0,280,0.0,,
012670,8,DaVita Red Mountain HT at Home,01Jan2021-31Dec2024,3.0,001,300-B 22nd Street South,,BIRMINGHAM,AL,35233,Jefferson,(205) 250-6757,Profit,Yes,DaVita,No,10,No,Yes,Yes,2013-09-26,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,518.0,27.7,43.5,18.2,01Jan2024-31Dec2024,As Expected,001,111.0,123.5,205.3,80.5,01Jan2024-31Dec2024,As Expected,001,69.0,33.4,48.6,19.4,01Jan2024-31Dec2024,As Expected,001,53.0,27.3,77.0,12.5,01Jan2021-31Dec2023,As Expected,001,80.0,1.61,2.76,0.86,As Expected,001,156.0,20.0,33.2,11.1,01Jan2024-31Dec2024,As Expected,001,59.0,0.58,1.33,0.31,01Jan2023-31Dec2024,Better than Expected,001,78.0,0.19,0.82,0.01,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,Not Available,201,,,,As Expected,001,27.0,44.5,71.9,15.4,01Apr2025-30JUN2025,001,0.0,280,0.0,,,280,134.0,1154.0,,280,0.0,,,280,0.0,,,54.0,001,0.0,001,28.0,280,160.0,1407.0,,280,170.0,1403.0,,,,,,001,27.0,257.0,12.0,280,0.0,,
012671,8,FMC Huntsville Home,01Jan2021-31Dec2024,4.0,001,2325 Pansy Street,,HUNTSVILLE,AL,35801,Madison,(256) 539-0338,Profit,Yes,Fresenius Medical Care,No,0,No,Yes,Yes,2014-01-23,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,459.0,29.0,44.4,19.5,01Jan2024-31Dec2024,As Expected,001,114.0,124.2,207.7,80.5,01Jan2024-31Dec2024,As Expected,001,58.0,19.8,35.6,9.1,01Jan2024-31Dec2024,Worse than Expected,001,61.0,56.4,114.8,32.9,01Jan2021-31Dec2023,Better than Expected,001,90.0,2.48,3.92,1.47,Better than Expected,001,148.0,29.2,45.3,17.1,01Jan2024-31Dec2024,As Expected,001,72.0,0.78,1.62,0.45,01Jan2023-31Dec2024,As Expected,001,72.0,1.05,1.99,0.38,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,Not Available,201,,,,As Expected,001,37.0,58.5,85.9,29.7,01Apr2025-30JUN2025,001,0.0,201,0.0,,,001,131.0,966.0,99.0,259,0.0,,,259,0.0,,,25.0,001,0.0,001,24.0,001,163.0,1222.0,1.0,001,174.0,1295.0,8.0,22.0,27.0,25.0,18.0,001,37.0,248.0,5.0,259,0.0,,
012672,8,FMC West Madison,01Jan2021-31Dec2024,2.0,001,29569 Huntsville Browns Ferry Rd,,MADISON,AL,35756,Limestone,(256) 233-5757,Profit,Yes,Fresenius Medical Care,Yes,21,Yes,No,No,2014-01-22,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,272.0,21.2,31.7,14.7,01Jan2024-31Dec2024,As Expected,001,72.0,142.1,236.9,90.4,01Jan2024-31Dec2024,As Expected,001,57.0,21.8,34.7,12.1,01Jan2024-31Dec2024,As Expected,001,22.0,60.2,169.8,27.5,01Jan2021-31Dec2023,Not Available,199,23.0,,,,As Expected,001,76.0,28.2,51.0,12.9,01Jan2024-31Dec2024,As Expected,001,31.0,0.84,1.92,0.39,01Jan2023-31Dec2024,As Expected,001,40.0,0.61,1.69,0.12,01Jan2021-31Dec2023,As Expected,001,51.0,0.46,1.67,0.06,01Jan2024-31Dec2024,As Expected,001,0.44,1.19,0.11,Worse than Expected,001,90.0,35.2,54.6,16.3,01Apr2025-30JUN2025,001,0.0,001,86.0,730.0,98.0,257,0.0,,,259,0.0,,,259,0.0,,,7.0,001,0.0,001,15.0,001,86.0,741.0,1.0,001,92.0,764.0,7.0,16.0,22.0,28.0,26.0,001,90.0,765.0,20.0,259,0.0,,
012673,8,DaVita Home Options of Dothan (PD),01Jan2021-31Dec2024,,260,1763 E Main Street,,DOTHAN,AL,36301,Houston,(334) 673-0246,Profit,Yes,DaVita,No,3,No,Yes,Yes,2014-04-25,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,Worse than Expected,001,264.0,37.5,57.0,25.6,01Jan2024-31Dec2024,As Expected,001,61.0,204.5,329.1,135.5,01Jan2024-31Dec2024,As Expected,001,51.0,35.3,52.6,20.3,01Jan2024-31Dec2024,Not Available,199,15.0,,,,01Jan2021-31Dec2023,As Expected,001,45.0,0.57,1.66,0.12,As Expected,001,82.0,11.5,31.5,3.6,01Jan2024-31Dec2024,As Expected,001,20.0,0.57,1.88,0.18,01Jan2023-31Dec2024,As Expected,001,29.0,0.3,1.58,0.01,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,201,0.0,,,,01Apr2025-30JUN2025,001,0.0,280,0.0,,,280,81.0,622.0,,280,0.0,,,280,0.0,,,,199,,199,9.0,280,81.0,622.0,,280,87.0,637.0,,,,,,201,0.0,,,280,0.0,,
012676,8,DaVita Greystone Dialysis,01Jan2021-31Dec2024,3.0,001,"5406 Highway 280, Suite D107",,BIRMINGHAM,AL,35242,Shelby,(205) 981-2045,Profit,Yes,DaVita,No,11,Yes,No,No,2014-08-25,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,145.0,16.2,27.0,9.1,01Jan2024-31Dec2024,As Expected,001,37.0,131.7,235.6,79.2,01Jan2024-31Dec2024,As Expected,001,40.0,15.9,32.9,6.2,01Jan2024-31Dec2024,Not Available,199,13.0,,,,01Jan2021-31Dec2023,As Expected,001,23.0,0.93,2.72,0.19,As Expected,001,37.0,11.7,45.6,2.0,01Jan2024-31Dec2024,As Expected,001,17.0,1.03,2.16,0.5,01Jan2023-31Dec2024,As Expected,001,14.0,0.56,2.6,0.01,01Jan2021-31Dec2023,As Expected,001,35.0,1.27,2.96,0.41,01Jan2024-31Dec2024,As Expected,001,0.61,2.02,0.1,As Expected,001,51.0,43.7,70.6,15.2,01Apr2025-30JUN2025,001,0.0,280,46.0,401.0,,280,0.0,,,280,0.0,,,280,0.0,,,,199,,199,10.0,280,46.0,401.0,,280,51.0,424.0,,,,,,001,51.0,429.0,10.0,280,0.0,,
012678,8,FMC McCalla,01Jan2021-31Dec2024,4.0,001,4748 Bell Hill Road,,BESSEMER,AL,35022,Jefferson,(205) 424-8528,Non-profit,Yes,Fresenius Medical Care,No,13,Yes,No,No,2014-12-29,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,200.0,15.2,26.1,8.7,01Jan2024-31Dec2024,As Expected,001,49.0,119.3,214.1,71.9,01Jan2024-31Dec2024,As Expected,001,36.0,19.6,38.1,7.1,01Jan2024-31Dec2024,Not Available,199,10.0,,,,01Jan2021-31Dec2023,Not Available,199,11.0,,,,As Expected,001,51.0,23.9,57.3,6.8,01Jan2024-31Dec2024,As Expected,001,11.0,1.67,3.65,0.77,01Jan2023-31Dec2024,As Expected,001,12.0,1.18,3.54,0.11,01Jan2021-31Dec2023,As Expected,001,25.0,0.47,2.64,0.01,01Jan2024-31Dec2024,As Expected,001,0.42,2.08,0.02,As Expected,001,60.0,41.2,64.1,16.7,01Apr2025-30JUN2025,001,0.0,001,56.0,512.0,98.0,257,0.0,,,259,0.0,,,259,0.0,,,,199,,199,10.0,001,57.0,516.0,0.0,001,61.0,537.0,12.0,17.0,22.0,26.0,22.0,001,60.0,541.0,3.0,259,0.0,,
012679,8,DaVita White Bluff Dialysis,01Jan2021-31Dec2024,3.0,001,"505 US Highway 80 W, Suite F",,DEMOPOLIS,AL,36732,Marengo,(334) 287-1254,Profit,Yes,DaVita,No,10,Yes,No,No,2014-11-24,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,172.0,28.5,45.7,17.6,01Jan2024-31Dec2024,As Expected,001,37.0,94.2,191.1,51.0,01Jan2024-31Dec2024,As Expected,001,26.0,13.9,36.8,3.0,01Jan2024-31Dec2024,Not Available,199,12.0,,,,01Jan2021-31Dec2023,Not Available,199,19.0,,,,As Expected,001,33.0,8.0,33.1,1.5,01Jan2024-31Dec2024,As Expected,001,13.0,0.85,2.09,0.35,01Jan2023-31Dec2024,As Expected,001,16.0,0.0,1.68,0.0,01Jan2021-31Dec2023,As Expected,001,25.0,0.38,2.14,0.01,01Jan2024-31Dec2024,As Expected,001,0.0,1.03,,As Expected,001,43.0,48.0,70.9,23.8,01Apr2025-30JUN2025,001,0.0,280,41.0,343.0,,280,0.0,,,280,0.0,,,280,0.0,,,,199,,199,10.0,280,42.0,359.0,,280,43.0,335.0,,,,,,001,43.0,373.0,12.0,280,0.0,,
012680,8,FMC TALLASSEE,01Jan2021-31Dec2024,3.0,001,1012 FRIENDSHIP ROAD,,TALLASSEE,AL,36078,Elmore,(334) 252-0028,Profit,Yes,Fresenius Medical Care,No,10,Yes,No,No,2015-10-22,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,181.0,27.1,42.9,17.0,01Jan2024-31Dec2024,As Expected,001,40.0,120.1,239.4,65.7,01Jan2024-31Dec2024,As Expected,001,19.0,25.6,54.6,7.3,01Jan2024-31Dec2024,Not Available,199,13.0,,,,01Jan2021-31Dec2023,Not Available,199,16.0,,,,Worse than Expected,001,30.0,0.0,0.0,0.0,01Jan2024-31Dec2024,As Expected,001,14.0,1.04,2.8,0.39,01Jan2023-31Dec2024,As Expected,001,15.0,0.63,2.96,0.01,01Jan2021-31Dec2023,As Expected,001,27.0,0.91,3.28,0.11,01Jan2024-31Dec2024,As Expected,001,0.0,1.41,,As Expected,001,41.0,51.6,74.7,27.2,01Apr2025-30JUN2025,001,0.0,001,37.0,323.0,99.0,257,0.0,,,259,0.0,,,259,0.0,,,,199,,199,4.0,001,37.0,323.0,1.0,001,41.0,329.0,6.0,19.0,26.0,27.0,22.0,001,41.0,321.0,7.0,259,0.0,,
012681,8,FMC Tranquility,01Jan2021-31Dec2024,2.0,001,11839 Highway 231-431 North,,MERIDIANVILLE,AL,35759,Madison,(256) 828-3128,Profit,Yes,Fresenius Medical Care,No,21,Yes,No,No,2015-09-23,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,282.0,23.0,34.1,16.1,01Jan2024-31Dec2024,As Expected,001,82.0,207.5,311.4,144.8,01Jan2024-31Dec2024,As Expected,001,91.0,27.9,38.3,18.6,01Jan2024-31Dec2024,Worse than Expected,001,22.0,74.1,208.8,33.8,01Jan2021-31Dec2023,Not Available,199,25.0,,,,As Expected,001,79.0,9.9,31.4,2.6,01Jan2024-31Dec2024,As Expected,001,36.0,1.04,2.02,0.57,01Jan2023-31Dec2024,As Expected,001,58.0,0.74,1.55,0.27,01Jan2021-31Dec2023,As Expected,001,49.0,1.57,3.42,0.58,01Jan2024-31Dec2024,As Expected,001,0.44,1.21,0.11,As Expected,001,98.0,51.0,71.8,30.8,01Apr2025-30JUN2025,001,0.0,001,91.0,682.0,98.0,257,0.0,,,259,0.0,,,259,0.0,,,24.0,001,0.0,001,21.0,001,93.0,725.0,1.0,001,101.0,798.0,10.0,23.0,30.0,23.0,14.0,001,98.0,778.0,19.0,259,0.0,,
012684,8,FMC Albertville,01Jan2021-31Dec2024,3.0,001,173 BUSINESS PARK DR,,ALBERTVILLE,AL,35951,Marshall,(256) 878-4480,Profit,Yes,Fresenius Medical Care,No,20,Yes,Yes,Yes,2016-05-06,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,314.0,24.7,35.6,17.9,01Jan2024-31Dec2024,As Expected,001,82.0,88.1,158.3,52.4,01Jan2024-31Dec2024,As Expected,001,45.0,18.9,34.6,8.1,01Jan2024-31Dec2024,As Expected,001,28.0,12.3,98.0,2.6,01Jan2021-31Dec2023,As Expected,001,47.0,0.73,2.14,0.15,As Expected,001,90.0,14.8,34.3,5.5,01Jan2024-31Dec2024,As Expected,001,34.0,1.1,2.31,0.55,01Jan2023-31Dec2024,As Expected,001,36.0,1.02,2.47,0.24,01Jan2021-31Dec2023,As Expected,001,55.0,1.18,2.57,0.43,01Jan2024-31Dec2024,As Expected,001,0.51,1.39,0.13,As Expected,001,87.0,61.3,82.0,41.2,01Apr2025-30JUN2025,001,0.0,001,70.0,561.0,99.0,001,26.0,241.0,95.0,259,0.0,,,259,0.0,,,19.0,001,0.0,001,16.0,001,100.0,927.0,1.0,001,106.0,966.0,4.0,16.0,23.0,29.0,29.0,001,87.0,725.0,18.0,259,0.0,,
