facility_id,facility_name_cms,address_line_1_cms,address_line_2_cms,city_cms,state_cms,zip_code_cms,county_cms,telephone_cms,dialysis_station_count,facility_name_google,formatted_address_google,place_id_google,latitude,longitude,match_status
032509,032509 EAST VALLEY DIALYSIS (FMC),135 S POWER RD STE 103,NA,MESA,AZ,85206,Maricopa,(480) 985-4911,36,Fresenius Kidney Care East Valley,"135 S Power Rd UNIT 103, Mesa, AZ 85206, United States",ChIJy2wZbOmvK4cRbQpvkt4M2HQ,33.4130862,-111.6829114,manual
032513,DaVita Sells Dialysis,HWY 86 - MP 113,PO BOX 3030,SELLS,AZ,85634,Pima,(520) 383-1701,20,DaVita Sells Dialysis,"Highway 86 Milepost 113, Sells, AZ 85634, United States",ChIJK_Asc8AA1YYR-w5_tZ3JzEM,31.9219924,-111.8945267,manual
032514,032514 DESERT DIALYSIS CENTER (DCI),2022 E PRINCE RD,NA,TUCSON,AZ,85719,Pima,(520) 327-0007,19,DCI Desert Dialysis,"2022 E Prince Rd, Tucson, AZ 85719, United States",ChIJlWH2Jyhy1oYRp81_YBd2KpE,32.271752000000014,-110.9407908,verified
032516,032516 CHANDLER DIALYSIS (FMC),912 W CHANDLER BLVD BLDG A-D,NA,CHANDLER,AZ,85225,Maricopa,(480) 821-9801,24,Fresenius Kidney Care Chandler,"912 W Chandler Blvd STE A For A1, Chandler, AZ 85225, United States",ChIJG9Oy8KkAK4cRxAsWzdQ1-wU,33.307521,-111.8578683,verified
032517,032517 CENTRAL PHX DIALYSIS (FMC),3421 N 7TH AVE,NA,PHOENIX,AZ,85013,Maricopa,(602) 274-2293,16,Fresenius Kidney Care Central Phoenix,"3421 N 7th Ave, Phoenix, AZ 85013, United States",ChIJ68R3YfcSK4cRZ9DFiOjziTs,33.4886424,-112.0824286,verified
032518,DaVita Chinle Dialysis,US HWY 191,PO BOX 879,CHINLE,AZ,86503,Apache,(928) 674-5426,26,DaVita Chinle Dialysis,"US Hwy 191, Chinle, AZ 86503, United States",ChIJZ47aB2acOocRc4vwJ9cE6ZU,36.1544483,-109.5526072,verified
032520,DaVita Sierra Vista Dialysis,"629 N HIGHWAY 90 BYP, STE 6",NA,SIERRA VISTA,AZ,85635,Cochise,(520) 459-7791,20,DaVita Sierra Vista At Home,"629 AZ-90 #06, Sierra Vista, AZ 85635, United States",ChIJQ4ofcCAp14YRlW0aBWHZHsE,31.5608964,-110.2535288,manual
032521,032521 DIALYSIS CENTER OF GLENDALE (FMC),5957 W NORTHERN AVE STE 108,NA,GLENDALE,AZ,85301,Maricopa,(623) 435-1155,18,Fresenius Kidney Care Glendale,"5957 W Northern Ave Ste 108, Glendale, AZ 85301, United States",ChIJwxtwJ6trK4cRsnuKrAKU5As,33.5525719,-112.1896791,manual
032522,032522 PARKER DIALYSIS CENTER (FMC),12205 KENNEDY DRIVE,NA,PARKER,AZ,85344,La Paz,(928) 669-9838,10,Fresenius Kidney Care Parker,"12205 Kennedy Dr, Parker, AZ 85344, United States",ChIJmQrKKR2D0YARBLqyAY360i0,34.147363,-114.304747,verified
032523,DaVita Prescott Dialysis,980 WILLOW CREEK RD STE 101,NA,PRESCOTT,AZ,86301,Yavapai,(928) 776-9459,12,DaVita Prescott Dialysis,"980 Willow Creek Rd #101, Prescott, AZ 86301, United States",ChIJN67R0tYuLYcRejoNrt5wPvk,34.5593018,-112.4826761,manual
032524,032524 FLAGSTAFF DIALYSIS CENTER (FMC),"2201 N VICKEY STREET, STE 120",NA,FLAGSTAFF,AZ,86004,Coconino,(928) 526-7071,16,Fresenius Kidney Care Flagstaff,"2201 N Vickey St Ste 120, Flagstaff, AZ 86004, United States",ChIJR7MioaaOLYcR-GY7mrUCVXc,35.2073868,-111.6067628,manual
032525,DaVita Desert Mountain Dialysis Center,9220 E MOUNTAIN VIEW RD STE 105,NA,SCOTTSDALE,AZ,85258,Maricopa,(480) 391-2241,24,DaVita Desert Mountain Dialysis Center,"9220 E Mountain View Rd # 105, Scottsdale, AZ 85258, United States",ChIJoUxD5Ud1K4cR0Hy7_9wM3h4,33.5763314,-111.8797774,manual
032526,USRC SOUTHWEST MESA,1457 W SOUTHERN AVE STE 19,NA,MESA,AZ,85202,Maricopa,(480) 894-5411,24,U.S. Renal Care,"1457 W Southern Ave ste d-19, Mesa, AZ 85202, United States",ChIJQ2EC460HK4cRuDoVKak5X10,33.3922005,-111.8632918,manual
032528,032528 THUNDERBIRD DIALYSIS (FMC),5750 W THUNDERBIRD RD BLDG G #750,NA,GLENDALE,AZ,85306,Maricopa,(602) 439-9502,24,FRESENIUS KIDNEY CARE THUNDERBIRD HOME,"5750 W Thunderbird Rd Ste G750, Glendale, AZ 85306, United States",ChIJPamM53NpK4cRkxJNBgMXpaY,33.612641000000004,-112.1813643,manual
032530,032530 DESERT VALLEY DIALYSIS (FMC),3815 E. BELL ROAD STE. 1100,NA,PHOENIX,AZ,85032,Maricopa,(602) 788-0755,16,Fresenius Kidney Care Desert Valley,"3815 E Bell Rd #1100, Phoenix, AZ 85032, United States",ChIJ524hvvFxK4cRge5yClUb_lA,33.6385794,-111.9991051,manual
032533,032533 GLOBE DIALYSIS (FMC),2250 HIGHWAY 60 STE O-2,NA,MIAMI,AZ,85539,Gila,(928) 425-2624,16,Fresenius Kidney Care Globe,"2250 US-60 Ste O-2, Miami, AZ 85539, United States",ChIJYY2M5RgpyIcRtD_ziIhpvso,33.4162222,-110.8263277,manual
032536,032536 WINSLOW DIALYSIS CENTER (FMC),721 MIKE'S PIKE STREET,NA,WINSLOW,AZ,86047,Navajo,(928) 289-1003,17,Fresenius Kidney Care Winslow,"721 Mike's Pike St, Winslow, AZ 86047, United States",ChIJ7QBvVlxCLocRC9MNiXY2zPM,35.0402446,-110.7015385,verified
032537,032537 ESTRELLA DIALYSIS CENTER (FMC),5546 W ROOSEVELT ST STE 1,NA,PHOENIX,AZ,85043,Maricopa,(602) 352-0724,22,Fresenius Kidney Care Estrella,"5546 W Roosevelt St #1, Phoenix, AZ 85043, United States",ChIJD4-AiVAUK4cR3n6sW4wq0vM,33.4592941,-112.1801546,manual
032539,032539 MESA DIALYSIS CENTER (FMC),1525 N GILBERT RD STE 121,NA,GILBERT,AZ,85234,Maricopa,(480) 497-1127,12,Fresenius Kidney Care Mesa,"1525 N Gilbert Rd Ste 121, Gilbert, AZ 85234, United States",ChIJiY40wOaoK4cRXNUwgvkg9s8,33.3776501,-111.7871521,manual
032540,032540 FRESENIUS KIDNEY CARE WESTERN SKIES,1041 N ARIZOLA RD,NA,CASA GRANDE,AZ,85122,Pinal,(520) 836-5883,16,FRESENIUS KIDNEY CARE WESTERN SKIES,"1041 N Arizola Rd, Casa Grande, AZ 85122, United States",ChIJg6Q07JNnKocRndjmRa-qhQQ,32.8837733,-111.7146137,verified
032541,032541 TEMPE DIALYSIS (FMC),1449 W SOUTHERN AVE,NA,TEMPE,AZ,85282,Maricopa,(480) 967-6360,20,Fresenius Kidney Care Tempe,"1449 W Southern Ave, Tempe, AZ 85282, United States",ChIJ78QrBk8PK4cR9FU1o9ezbfg,33.3923966,-111.9631146,verified
032542,032542 ARCADIA DIALYSIS CENTER (FMC),4021 N. 30th Street,NA,PHOENIX,AZ,85016,Maricopa,(602) 957-2142,25,Fresenius Kidney Care Arcadia,"4021 N 30th St, Phoenix, AZ 85016, United States",ChIJK_Tg1TkMK4cRAlE0WYRIIuc,33.4940634,-112.0168231,manual
032543,DaVita Nogales Dialysis,1605 N. Industrial Park Dr. STE H,NA,NOGALES,AZ,85621,Santa Cruz,(520) 281-5779,13,DaVita Nogales Dialysis,"1605 N Industrial Park Dr # H, Nogales, AZ 85621, United States",ChIJO2syAuWs1oYR6i4Ji5akIjQ,31.3614609,-110.9482863,verified
032544,032544 LAKE HAVASU DIALYSIS (FMC),2145 Mesquite Ave,NA,LAKE HAVASU CITY,AZ,86403,Mohave,(928) 302-5145,12,Fresenius Kidney Care Lake Havasu,"2145 Mesquite Ave, Lake Havasu City, AZ 86403, United States",ChIJbTELyoXt0YARtbNJzdARB64,34.4771628,-114.3267463,verified
032545,032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),26 E BASELINE STE 142,NA,PHOENIX,AZ,85042,Maricopa,(602) 268-8158,17,Fresenius Kidney Care South Mountain,"26 E Baseline Rd Ste 142, Phoenix, AZ 85042, United States",ChIJk_8nOhUQK4cRHtj4QQ_0ASk,33.3787684,-112.0716698,manual
032546,032546 SUN CITY WEST DIALYSIS (FMC),12213 W BELL ROAD STE 110,NA,SURPRISE,AZ,85374,Maricopa,(623) 583-8865,18,Fresenius Kidney Care Sun City West,"12213 W Bell Rd Ste 110, Surprise, AZ 85378, United States",ChIJLSLMPVtDK4cR8rtwDKu_j_Y,33.6382273,-112.3233993,manual
032549,032549 SAFFORD DIALYSIS (FMC),1250 S 20TH AVE,NA,SAFFORD,AZ,85546,Graham,(928) 428-1400,16,FRESENIUS KIDNEY CARE SAFFORD HOME,"1250 S 20th Ave, Safford, AZ 85546, United States",ChIJ004RJZ_814YR7LVks2LhYXU,32.8255454,-109.7335271,verified
032550,032550 NORTH PHOENIX DIALYSIS (FMC),1957 W DUNLAP AVE STE 6C,NA,PHOENIX,AZ,85021,Maricopa,(602) 943-1763,19,FRESENIUS KIDNEY CARE NORTH PHOENIX HOME,"1957 W Dunlap Ave STE 7C, Phoenix, AZ 85021, United States",ChIJ0-VQDFZsK4cRCbJtNurEa7s,33.5667827,-112.1026723,manual
032551,USRC MESA,1337 S GILBERT RD STE 109,NA,MESA,AZ,85204,Maricopa,(480) 926-1906,16,U.S. Renal Care,"1337 S Gilbert Rd UNIT 109, Mesa, AZ 85204, United States",ChIJu9WGN5WoK4cRZ2eX_ZM0Koo,33.39116300000001,-111.7870903,manual
032553,DaVita Papago Dialysis Center,5115 East Thomas Rd,STE 115,PHOENIX,AZ,85018,Maricopa,(602) 956-1831,13,DaVita Papago Dialysis Center,"5115 E Thomas Rd #115, Phoenix, AZ 85018, United States",ChIJSV8iy-gNK4cRblrFcCFKuUw,33.4794618,-111.9701645,manual
032556,DaVita South Yuma Dialysis,7179 E 31ST PL,NA,YUMA,AZ,85365,Yuma,(928) 317-0517,20,DaVita South Yuma Dialysis,"7179 E 31st Pl, Yuma, AZ 85365, United States",ChIJFbKWdgxh1oARYbRY7KGAPHI,32.6711734,-114.5101102,verified
032558,032558 BULLHEAD CITY DIALYSIS (FMC),2650 MIRACLE MILE,NA,BULLHEAD CITY,AZ,86442,Mohave,(928) 763-5550,36,Fresenius Kidney Care Bullhead City,"2650 Miracle Mile, Bullhead City, AZ 86442, United States",ChIJoz-esSJBzoARaMSSWjx1iP0,35.0901055,-114.5960127,verified
032559,DaVita Kayenta Dialysis,HWY 163,BOX 217,KAYENTA,AZ,86033,Navajo,(928) 697-8182,18,DaVita Kayenta Dialysis,"Highway 163 Box 217, Kayenta, AZ 86033, United States",ChIJfdJmS0PXMIcRuaVNgNCER74,36.7282703,-110.2478171,verified
032561,032561 CASA GRANDE DIALYSIS (FMC),1875 E Sabin Dr,NA,CASA GRANDE,AZ,85122,Pinal,(520) 836-2566,25,Fresenius Kidney Care Casa Grande,"1875 E Sabin Dr, Casa Grande, AZ 85122, United States",ChIJw8434K5gKocRa940uuhb6K4,32.8811014,-111.7065961,verified
032562,DaVita Cottonwood Dialysis,"1699 E COTTONWOOD ST, A-200",NA,COTTONWOOD,AZ,86326,Yavapai,(928) 634-9295,10,DaVita Cottonwood Dialysis,"1699 E Cottonwood St Ste A200, Cottonwood, AZ 86326, United States",ChIJ7YtLbNMPLYcROHmQZCGkr_Y,34.7282932,-112.0053112,manual
032564,032564 MARYVALE DIALYSIS (FMC),4502 W INDIAN SCHOOL RD STE A4-11,NA,PHOENIX,AZ,85031,Maricopa,(623) 247-0695,28,Fresenius Kidney Care Maryvale,"4502 W Indian School Rd Ste A4, Phoenix, AZ 85031, United States",ChIJmciMt4BAK4cRtfOw7nBYb-s,33.4954792,-112.1565458,manual
032565,032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI),1011 E PENNSYLVANIA ST,NA,TUCSON,AZ,85719,Pima,(520) 806-0007,25,DCI Desert Dialysis South,"1011 E Pennsylvania St, Tucson, AZ 85714, United States",ChIJ8WR6unx61oYRmdCZ8BlzZZs,32.1722026,-110.9556684,verified
032568,032568 RED MOUNTAIN DIALYSIS (FMC),1211 N COUNTRY CLUB DR STE 4,NA,MESA,AZ,85201,Maricopa,(480) 833-7440,13,Fresenius Kidney Care Red Mountain,"1211 N Country Club Dr #4, Mesa, AZ 85201, United States",ChIJz19ZxZunK4cRtx6PbicD-mc,33.4364699,-111.8391889,manual
032571,032571 NORTH SCOTTSDALE DIALYSIS (FMC),16101 N 82ND ST STE 6-7,NA,SCOTTSDALE,AZ,85260,Maricopa,(480) 998-1842,13,Fresenius Kidney Care North Scottsdale,"16101 N 82nd St A10, Scottsdale, AZ 85260, United States",ChIJGc482sx1K4cRkRjFem-FrTg,33.6327415,-111.9020444,manual
032572,DaVita Desert Dialysis,13000 N 103RD AVE STE 66,NA,SUN CITY,AZ,85351,Maricopa,(623) 583-3131,20,DaVita Desert Dialysis,"13000 N 103rd Ave #66, Sun City, AZ 85351, United States",ChIJizmUC0xCK4cRzUnHgBQwwGw,33.6018498,-112.2817124,manual
032573,DaVita Pascua Yaqui Tribe Dialysis,7490 S CAMINO DE OESTE,NA,TUCSON,AZ,85757,Pima,(520) 879-6161,13,DaVita Pascua Yaqui Tribe Dialysis,"7490 S Camino De Oeste, Tucson, AZ 85746, United States",ChIJ0cSEiPZ41oYRB8XuvHCJ6XY,32.1164427,-111.0638267,verified
032575,032575 SHOW LOW DIALYSIS (FMC),1500 S WHITE MOUNTAIN BLVD STE 204,NA,SHOW LOW,AZ,85901,Navajo,(928) 532-8430,12,Fresenius Kidney Care Show Low,"1500 S White Mountain Rd Ste 204, Show Low, AZ 85901, United States",ChIJrapgorQ0L4cRPt3FJh6TopQ,34.236811,-110.0271925,manual
032578,032578 APACHE JUNCTION DIALYSIS (FMC),11540 E UNIVERSITY DR STE 109,NA,APACHE JUNCTION,AZ,85120,Pinal,(480) 357-5572,24,Fresenius Kidney Care Apache Junction,"11540 E University Dr #109, Apache Junction, AZ 85120, United States",ChIJ9WWfTM-wK4cRZ8U3kb6vczQ,33.423696,-111.5815826,manual
032579,032579 SUN LAKES DIALYSIS (FMC),9666 E RIGGS RD STE 143,NA,SUN LAKES,AZ,85248,Maricopa,(480) 883-1301,16,Fresenius Kidney Care Sun Lakes,"9666 E Riggs Rd Ste 143, Sun Lakes, AZ 85248, United States",ChIJrQv1HOT_KocRf2IIKr_H7sM,33.2193808,-111.8731411,manual
032580,032580 PALM VALLEY DIALYSIS (FMC),13657 W MCDOWELL RD STE 106,NA,GOODYEAR,AZ,85338,Maricopa,(623) 536-1096,12,Fresenius Kidney Care Palm Valley,"13657 W McDowell Rd, Goodyear, AZ 85395, United States",ChIJlz2187w4K4cRYzzmnkT7oDE,33.4634395,-112.3531955,manual
032583,USRC SOUTH PHOENIX,4621 S CENTRAL AVE,NA,PHOENIX,AZ,85040,Maricopa,(602) 304-1977,20,U.S. Renal Care,"4621 S Central Ave, Phoenix, AZ 85040, United States",ChIJoddVn7URK4cRmvwvgrYwfwE,33.4043092,-112.0730079,verified
032587,032587 DEER VALLEY DIALYSIS (FMC),21241 N 23RD AVE STE 11,NA,PHOENIX,AZ,85027,Maricopa,(623) 869-6089,19,Fresenius Kidney Care Deer Valley,"21241 N 23rd Ave Ste 11, Phoenix, AZ 85027, United States",ChIJwa_X2XFvK4cRYbe7HKpIjJE,33.6789533,-112.1079546,manual
032589,DaVita Tucson South Central Dialysis,2024 E IRVINGTON RD,STE 7,TUCSON,AZ,85714,Pima,(520) 573-0200,30,DaVita Tucson South Central Dialysis,"2024 E Irvington Rd ste 7, Tucson, AZ 85714, United States",ChIJubE71Ix61oYRHF_hUD4Okls,32.1620721,-110.941081,verified
032592,DaVita Hopi Dialysis Center,HIGHWAY 264 MILE MARKER 388,PO BOX 964,POLACCA,AZ,86042,Navajo,(928) 737-5490,11,DaVita Hopi Dialysis Center,"HWY 264 MILE MARKER 388, Polacca, AZ 86042, United States",ChIJBzLdQ1jKMYcR71kHDNrqeRQ,35.8412113,-110.3371845,verified
032593,032593 GRANITE VALLEY DIALYSIS (FMC),14510 W SHUMWAY DR STE 100,NA,SUN CITY WEST,AZ,85375,Maricopa,(623) 546-2718,18,Fresenius Kidney Care Granite Valley,"14510 W Shumway Dr Suite 100, Sun City West, AZ 85375, United States",ChIJl7SP9SJbK4cRsuGvVTOMbMg,33.6621479,-112.3725262,manual
032594,032594 SALT RIVER DIALYSIS CENTER (FMC),10301 E OSBORN RD BLDG 14,NA,SCOTTSDALE,AZ,85256,Maricopa,(480) 362-1044,16,Fresenius Kidney Care Salt River,"10301 E Osborn Rd, Scottsdale, AZ 85256, United States",ChIJH1MY7wMKK4cRdJwK6zGQ6GM,33.4874868,-111.8590915,manual
032596,USRC NORTHEAST PHOENIX,3305 E GREENWAY RD STE 1,NA,PHOENIX,AZ,85032,Maricopa,(602) 765-3919,16,U.S. Renal Care,"3305 E Greenway Rd #1, Phoenix, AZ 85032, United States",ChIJ1Um5HShyK4cRIkZ14XQCRfQ,33.6259356,-112.0110623,manual
032597,032597 SAN CARLOS DIALYSIS (FMC),US 70 & AZ ROUTE 170,NA,PERIDOT,AZ,85542,Gila,(928) 325-6310,16,Fresenius Kidney Care San Carlos,"860 STATE HIGHWAY 170, 860 US-70, Peridot, AZ 85542, United States",ChIJAwu-W9exKYcRVOWiSTKDRgY,33.2998108,-110.4605648,manual
032599,032599 AHWATUKEE DIALYSIS (FMC),15930 48th Street,NA,PHOENIX,AZ,85048,Maricopa,(480) 785-2270,16,Fresenius Kidney Care Ahwatukee,"15930 S 48th St Ste 100, Phoenix, AZ 85048, United States",ChIJWwmKMW8EK4cRBWb9soaHtbI,33.3020845,-111.9830548,manual
032601,DaVita Palm Brook Dialysis Center,14664 N DEL WEBB BLVD,NA,SUN CITY,AZ,85351,Maricopa,(623) 583-6550,20,DaVita Palm Brook Dialysis Center,"14664 N Del Webb Blvd, Sun City, AZ 85351, United States",ChIJ3VNg1AZDK4cRTg6m2LRf-pM,33.6185391,-112.2929384,verified
032604,DaVita Arrowhead Lakes Dialysis Center,20325 N 51ST AVE STE 186 BLDG 11,NA,GLENDALE,AZ,85308,Maricopa,(623) 533-6521,24,DaVita Arrowhead Lakes Dialysis Center,"20325 N 51st Ave bldg 11 ste 186, Glendale, AZ 85308, United States",ChIJw68Tl5doK4cROsPiiIw3sn0,33.6703109,-112.1688156,manual
032605,DaVita Gilbert Dialysis Center,5222 E BASELINE RD STE 104,NA,GILBERT,AZ,85234,Maricopa,(480) 832-6996,24,DaVita Gilbert Dialysis Center,"5222 E Baseline Rd Ste 104, Gilbert, AZ 85234, United States",ChIJ0yzfvP2uK4cR0lyUZ39ptxo,33.3802079,-111.7187999,manual
032607,032607 AVONDALE DIALYSIS (FMC),10750 W MCDOWELL RD STE E500,NA,AVONDALE,AZ,85323,Maricopa,(623) 643-9334,20,Fresenius Kidney Care Avondale,"10750 W McDowell Rd Ste E500, Avondale, AZ 85392, United States",ChIJr0S2FAs_K4cR8N61x7OGcNs,33.4659558,-112.2911612,manual
032608,USRC AVONDALE,13055 W MCDOWELL RD STE F101,NA,AVONDALE,AZ,85392,Maricopa,(623) 935-5460,24,U.S. Renal Care,"13055 W McDowell Rd #101f, Avondale, AZ 85392, United States",ChIJjag4frQ4K4cRFgephSGl9No,33.4634691,-112.3368496,manual
032609,DaVita Tempe Dialysis Center,2149 E WARNER RD STE 109 & STE 110,NA,TEMPE,AZ,85284,Maricopa,(480) 730-3531,24,DaVita Tempe Dialysis Center PD,"2149 E Warner Rd #109, Tempe, AZ 85284, United States",ChIJt2CLThoHK4cRFWQSkmWbt-0,33.3338289,-111.8950355,manual
032610,032610 SOUTHEAST VALLEY DIALYSIS (FMC),22715 S ELLSWORTH RD STE D,NA,QUEEN CREEK,AZ,85142,Maricopa,(480) 677-2463,24,Fresenius Kidney Care Southeast Valley,"22715 S Ellsworth Rd Ste D, Queen Creek, AZ 85142, United States",ChIJPZszbRFNKocRVcbIAjJLz48,33.2420525,-111.6327962,verified
032611,DaVita Phoenix Dialysis Center,337 E CORONADO RD STE 101,NA,PHOENIX,AZ,85004,Maricopa,(602) 253-9006,24,DaVita Phoenix Dialysis Center,"337 E Coronado Rd Ste 101, Phoenix, AZ 85004, United States",ChIJNVyaPmsSK4cRG3cLLc2yQHQ,33.467046,-112.067639,manual
032612,DaVita Estrella Dialysis Center,8410 W THOMAS RD STE 100 BLDG 1,NA,PHOENIX,AZ,85037,Maricopa,(623) 247-0808,24,DaVita Estrella Dialysis Center,"8410 W Thomas Rd Ste 100 Bldg 1, Phoenix, AZ 85037, United States",ChIJY3uOX1Y_K4cRTPTiC_PAM4s,33.4803611,-112.2418049,manual
032613,032613 NORTHWEST TUCSON DIALYSIS (FMC),6261 N LA CHOLLA BLVD STE 181,NA,TUCSON,AZ,85741,Pima,(520) 297-1490,20,Fresenius Kidney Care Northwest Tucson,"6261 N La Cholla Blvd Ste 181, Tucson, AZ 85741, United States",ChIJNfIL_ZZ01oYREQqiE-glTcQ,32.3208757,-111.0132354,manual
032614,032614 DOUGLAS DIALYSIS CENTER (DCI),99 E 16TH ST,NA,DOUGLAS,AZ,85607,Cochise,(520) 364-2204,12,Douglas Dialysis Center,"99 16th St, Douglas, AZ 85607, United States",ChIJAXA5uRsI2oYR6juw5ZOFarI,31.3499145,-109.560858,verified
032616,032616 DESERT DIALYSIS SAHUARITA (DCI),1700 W COMMERCE POINTE PL,NA,SAHUARITA,AZ,85629,Pima,(520) 625-0103,24,"Dialysis Clinic, Inc.","1700 W Duval Commerce Point Pl, Green Valley, AZ 85614, United States",ChIJtaWNJvSD1oYRUtNXrqi-gEk,31.8972014,-111.00231,verified
032617,032617 TUCSON WEST DIALYSIS CENTER (FMC),100 W GRANT RD,NA,TUCSON,AZ,85705,Pima,(520) 624-0266,24,Fresenius Kidney Care Tucson West,"100 W Grant Rd, Tucson, AZ 85705, United States",ChIJ61S_wmlx1oYR3xbogWbirEs,32.251116,-110.973695,verified
032618,DaVita Northwest Tucson Dialysis,2945 W INA RD STE 105,NA,TUCSON,AZ,85741,Pima,(520) 797-0049,18,DaVita Northwest Tucson Dialysis,"2945 W Ina Rd Ste 105, Tucson, AZ 85741, United States",ChIJox2HkM501oYR_LD3ns9TKec,32.3367193,-111.0302325,manual
032619,DaVita Mountain Vista Dialysis Center of Arizona,10238 E HAMPTON AVE STE 108,NA,MESA,AZ,85209,Maricopa,(480) 357-8009,24,DaVita Mountain Vista Dialysis Center Of Arizona,"10238 E Hampton Ave #108, Mesa, AZ 85209, United States",ChIJ89F1iw-xK4cReBIAeQHTKj0,33.3910471,-111.609865,manual
032620,DaVita Grand Home Dialysis,14671 W. Mountain View Blvd.,Suite 106,Surprise,AZ,85374,Maricopa,(623) 546-6120,4,DaVita Grand Home At Home,"14671 W Mountain View Blvd Ste 106, Surprise, AZ 85374, United States",ChIJu6PBViZbK4cRkWTWaqNOLyA,33.65392,-112.3771783,verified
032622,032622 GOODYEAR DIALYSIS (FMC),500 N BULLARD AVE STE C34,NA,GOODYEAR,AZ,85338,Maricopa,(623) 925-8955,24,Fresenius Kidney Care Goodyear,"500 N Bullard Ave Ste C34, Goodyear, AZ 85338, United States",ChIJWVuCFIs4K4cRAEmoGCVlhdc,33.4525004,-112.3777466,manual
032624,DaVita Central Mesa Dialysis Center,1134 E UNIVERSITY DR STE 101,NA,MESA,AZ,85203,Maricopa,(480) 464-3851,24,DaVita Central Mesa Dialysis Center,"1134 E University Dr Ste 101, Mesa, AZ 85203, United States",ChIJqSD5CjOmK4cRmqrZSMOevpI,33.4230598,-111.8065075,manual
032625,DaVita Raven Dialysis Center,3540 E BASELINE RD STE 110,NA,PHOENIX,AZ,85042,Maricopa,(602) 431-2110,24,DaVita Raven Dialysis Center,"3540 E Baseline Rd #110, Phoenix, AZ 85042, United States",ChIJJQB6lYMPK4cRpDs5Mtst9yQ,33.3788571,-112.0053289,manual
