facility_id,facility_name_cms,address_line_1_cms,address_line_2_cms,city_cms,state_cms,zip_code_cms,county_cms,telephone_cms,dialysis_station_count,facility_name_google,formatted_address_google,place_id_google,latitude,longitude,match_status,total_weighted_demand,blocks_in_catchment,R_j
322520,322520 RIO RANCHO DIALYSIS (DCI),4045 JACKIE RD SE,NA,RIO RANCHO,NM,87124,Sandoval,(505) 896-8861,24,"Dialysis Clinic, Inc.","4045 Jackie Rd SE, Rio Rancho, NM 87124, United States",ChIJIfCrvvJxIocRyfahf4zIEy4,35.2373857,-106.6538245,verified,7198815.2198259,13561,3.333881932946798e-6
322523,322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC),5200 San Mateo Blvd NE,NA,Albuquerque,NM,87109,Bernalillo,(505) 883-7599,24,Fresenius Kidney Care North Albuquerque,"5200 San Mateo Blvd NE, Albuquerque, NM 87109, United States",ChIJR12JEuZ0IocRiiGBldscLgY,35.1400959,-106.585645,verified,9831278.784024073,16012,2.4411880211351793e-6
322524,322524 ACL DIALYSIS (DCI),I-40 EXIT 102,NA,SAN FIDEL,NM,87049,Cibola,(505) 552-7292,24,Dialysis Clinic Inc,"501 Sunrise Ct, Acoma Pueblo, NM 87034, United States",ChIJS6UWLYG-I4cRmtIlwG_dHHg,35.06919549,-107.5701094,manual,1398700.3523586134,4785,1.7158785982665306e-5
322530,322530 ALBUQUERQUE EAST (DCI),905 LOUISIANA BLVD NE,NA,ALBUQUERQUE,NM,87110,Bernalillo,(505) 254-1800,24,"Dialysis Clinic, Inc.","905 Louisiana Blvd NE, Albuquerque, NM 87110, United States",ChIJ_afli4cLIocRlOoNNkXstfA,35.088654,-106.5691498,verified,9134949.91607035,15163,2.6272722040630804e-6
322531,322531 Central Albuquerque DIALYSIS CENTER (FMC),5031 Indian School Rd NE,NA,Albuquerque,NM,87110,Bernalillo,(505) 255-0111,25,FRESENIUS KIDNEY CARE CENTRAL ALBUQUERQUE HOME,"1500 Indian School Rd NE, Albuquerque, NM 87102, United States",ChIJz4bjTK0LIocRUvYjvnuLRe0,35.0979968,-106.6286975,manual,9720592.768351447,15618,2.5718596175940664e-6
322533,322533 NORTH RIO RANCHO DIALYSIS (FMC),7555 ENCHANTED HILLS BLVD STE 102,NA,RIO RANCHO,NM,87144,Sandoval,(505) 771-0316,29,Fresenius Kidney Care North Rio Rancho,"7555 Enchanted Hills Blvd NE Ste 102, Rio Rancho, NM 87144, United States",ChIJ5-dSHv54IocRbiAKSaihDek,35.327729,-106.5805977,manual,6403077.336580336,14386,4.529072268786293e-6
322534,USRC GALLUP DIALYSIS,725 HOSPITAL DR,NA,GALLUP,NM,87301,McKinley,(505) 863-3465,37,U.S. Renal Care,"725 Hospital Dr, Gallup, NM 87301, United States",ChIJY2oFCWPeJIcR8lWXc7dNV8Q,35.507824,-108.7257388,verified,820863.4129104159,4131,4.507449036961519e-5
322535,USRC ZUNI DIALYSIS,20 D Avenue,NA,ZUNI,NM,87327,McKinley,(505) 782-5663,31,Red Rock Dialysis-Zuni,"20 D Ave, Zuni, NM 87327, United States",ChIJscpUFixVJIcR4gfWMZ-VWYQ,35.0877049,-108.7917062,manual,280412.95748591836,1331,1.105512394217972e-4
322536,USRC CROWNPOINT DIALYSIS,STATE HWY 371 ROUTE 9,CROWNPOINT SHOPPING CENTER,CROWNPOINT,NM,87313,McKinley,(505) 786-5280,10,U.S. Renal Care,"NTUA Crownpoint District Office, Hwy 371, Crownpoint Shopping Ctr., W Navajo 9, Crownpoint, NM 87313, United States",ChIJ60uDydelJIcRQQO4Wtu4Ack,35.6975263,-108.1418989,manual,159428.1571671306,1663,6.272417732030153e-5
322540,USRC GALLUP HOME,1801 RED ROCKS DR,NA,GALLUP,NM,87301,McKinley,(505) 863-3472,3,U.S. Renal Care,"1801 Redrock Dr, Gallup, NM 87301, United States",ChIJb1-_IgXfJIcRdcwSQfsPSVU,35.5082075,-108.7270051,verified,824112.438393783,4171,3.6402799669509652e-6
322541,322541 ALBUQUERQUE SOUTH (DCI),1725 isleta blvd SW,NA,ALBUQUERQUE,NM,87105,Bernalillo,(505) 877-3181,24,"Dialysis Clinic, Inc.","1725 Isleta Blvd SW, Albuquerque, NM 87105, United States",ChIJh64j_aoNIocRXj_r1pCyDMw,35.0511264,-106.6783406,manual,8273221.760333753,14383,2.9009255034198195e-6
322542,322542 Fresenius Kidney Care HOME DIALYSIS OF NEW MEXICO,700 Lomas Blvd NE,Three Woodward Center,ALBUQUERQUE,NM,87102,Bernalillo,(505) 842-5210,3,FRESENIUS KIDNEY CARE HOME DIALYSIS - N.M.,"Three Woodward Center, 700 Lomas Blvd NE, Albuquerque, NM 87102, United States",ChIJKZeAw6UMIocRS0ooPYkfEGg,35.0896043,-106.6381206,verified,9549618.629849596,15414,3.141486708822894e-7
322543,322543 CUBA DIALYSIS (DCI),14 EAST CORDOVA AVE,NA,CUBA,NM,87103,Bernalillo,(575) 289-0090,16,"Dialysis Clinic, Inc.","14 E Cordova Ave, Cuba, NM 87013, United States",ChIJmWNVvbXLIocRjJMedCvcsvQ,36.0128966,-106.9629901,verified,98710.07649949109,716,1.62090847939749e-4
322546,322546 - LIBERTY ALBUQUERQUE DIALYSIS (FMC),3810 COMMONS AVE NE,NA,ALBUQUERQUE,NM,87109,Bernalillo,(505) 345-1224,19,Liberty Dialysis Liberty Albuquerque,"3810 Commons Ave NE, Albuquerque, NM 87109, United States",ChIJBVl6c_N0IocR3WdmQqSnqNk,35.1432646,-106.6028807,verified,9620917.540853882,15893,1.9748636155875107e-6
322548,322548 - LIBERTY RIO RANCHO (FMC),5751 MCMAHON BLVD NW,NA,ALBUQUERQUE,NM,87114,Bernalillo,(505) 899-1019,19,Liberty Dialysis Liberty Rio Rancho,"5751 McMahon Blvd NW, Albuquerque, NM 87114, United States",ChIJ8yq9OaFxIocRXsjcb0gGuaI,35.2140985,-106.6999838,verified,7648737.132332008,13344,2.484070202868526e-6
322549,DaVita Del Norte Dialysis,5201 SAN MATEO BLVD NE,NA,ALBUQUERQUE,NM,87109,Bernalillo,(505) 884-4820,17,DaVita Del Norte Dialysis,"5201 San Mateo Blvd NE, Albuquerque, NM 87109, United States",ChIJrbjBiR11IocRta9CAEvwBbA,35.1399966,-106.5871063,verified,9836246.485197447,16000,1.7283015452676256e-6
322551,322551-FMC- ALBUQUERQUE WESTSIDE,300 UNSER BLVD NW,NA,ALBUQUERQUE,NM,87121,Bernalillo,(505) 839-5282,21,FRESENIUS KIDNEY CARE ALBUQUERQUE WESTSIDE,"300 Unser Blvd NW, Albuquerque, NM 87121, United States",ChIJH7qD_FcNIocRQZ0HGA3BT4E,35.0800431,-106.723222,verified,8728420.633660488,14605,2.4059335452985738e-6
322554,USRC SOLID ROCK DIALYSIS,1580 Highway 264,Suite A,GALLUP,NM,87301,McKinley,(505) 371-5581,25,Solid Rock Dialysis,"1580 NM-264 ste a, Gallup, NM 87301",ChIJ-7J685wxJYcR3T4gje9sEvs,35.6586701765886,-109.040313215538,manual,691130.3801417379,4036,3.6172624903094215e-5
322556,DaVita Sandia Peak Dialysis,10410 Copper Pointe Way NE,NA,ALBUQUERQUE,NM,87123,Bernalillo,(505) 299-0657,12,DaVita Sandia Peak Dialysis,"10410 Copper Ave, Albuquerque, NM 87123, United States",ChIJDWx6OHygGIcRy5eciw1r5p0,35.080446,-106.527649,manual,8577068.347119708,14735,1.3990794423399643e-6
322558,322558-Albuquerque Southwest Mesa,8121 Central Ave NW,NA,ALBUQUERQUE,NM,87121,Bernalillo,(505) 836-1061,20,"Dialysis Clinic, Inc.","8121 Central Ave NW, Albuquerque, NM 87121, United States",ChIJB-pSZZkTIocRx0lssLuTpYQ,35.0791361,-106.7264585,verified,8613561.189254263,14530,2.3219200004001526e-6
322561,DaVita San Juan Dialysis,4525 Rowe Ave,NA,Farmington,NM,87402,San Juan,(505) 326-6278,19,DaVita San Juan Dialysis,"4525 Rowe Ave, Farmington, NM 87402, United States",ChIJ5YAS60eJO4cRkPHOfYgjzQY,36.7698066,-108.1404782,verified,1120890.4957567402,3359,1.6950808372384888e-5
322564,FKC Farmington,2050 Knudsen Avenue,NA,Farmington,NM,87401,San Juan,(505) 516-0670,12,"Fresenius Kidney Care Farmington, NM","2050 Knudsen Ave STE C, Farmington, NM 87401, United States",ChIJ003Ki5mPO4cRb7e0wy3n0Vw,36.7491931,-108.1884879,manual,1103299.8461447284,3363,1.0876463041240983e-5
462319,462319 BLUE MOUNTAIN HOSPITAL DIALYSIS,802 S 200 W,NA,BLANDING,UT,84511,San Juan,(435) 678-4624,8,Blue Mountain Hospital,"802 S 200 W, Blanding, UT 84511, United States",ChIJmcDCzQzUOYcRQeQ3IP484rc,37.612792,-109.48261720000001,verified,81160.51566869616,679,9.857009820707217e-5
462557,BMH Kidney Care LLC,802 S 200 W,Ste B,Blanding,UT,84511,San Juan,(435) 678-5416,1,Blue Mountain Hospital,"802 S 200 W, Blanding, UT 84511, United States",ChIJmcDCzQzUOYcRQeQ3IP484rc,37.612792,-109.48261720000001,verified,81160.51566869616,679,1.2321262275884021e-5
